159371,UNKNOWN,Pantheon-Assas,D8:C7:C8:24:D0:51,-90,11
159371,UNKNOWN,eduroam,00:F6:63:DD:4B:C4,-90,11
159371,UNKNOWN,eduroam,00:F6:63:E6:2E:D4,-91,6
159371,UNKNOWN,eduroam,00:F6:63:DD:4B:64,-91,6
159371,UNKNOWN,SFR_FC68,CC:2D:1B:6C:FC:6E,-91,1
159371,UNKNOWN,eduroam,00:F6:63:DD:4B:24,-91,1
159371,UNKNOWN,FBFB,70:FC:8F:4C:99:94,-91,11
159371,UNKNOWN,SFR_D4AF,00:06:91:E3:D4:B0,-92,1
159371,UNKNOWN,ZCGA_05020,00:1B:93:01:13:9C,-92,8
159371,UNKNOWN,TP-Link_691E,D8:47:32:5C:69:1E,-93,9
166797,UNKNOWN,iPhone,6A:56:19:04:41:7A,-56,6
166797,UNKNOWN,eduroam,00:F6:63:AC:D8:34,-62,6
166797,UNKNOWN,CONGRES,00:F6:63:AC:D8:32,-62,6
166797,UNKNOWN,eduspot,00:F6:63:AC:D8:31,-62,6
166797,UNKNOWN,eduspot,00:F6:63:DD:36:C1,-73,11
166797,UNKNOWN,eduroam,00:F6:63:DD:36:C4,-74,11
166797,UNKNOWN,CONGRES,00:F6:63:DD:36:C2,-74,11
166797,UNKNOWN,POCO F6 Pro,76:55:B0:6D:40:15,-75,1
166797,UNKNOWN,eduspot,00:F6:63:C7:2A:F1,-79,1
166797,UNKNOWN,TP-Link_39A2_FO,28:87:BA:84:39:A2,-79,11
166797,UNKNOWN,El Guacamole,E4:38:83:73:1B:4E,-80,6
166797,UNKNOWN,SFR_9F8F,B0:B3:69:D3:9F:91,-80,1
166797,UNKNOWN,CONGRES,00:F6:63:C7:2A:F2,-80,1
166797,UNKNOWN,CONGRES,00:F6:63:B1:CD:92,-80,11
166797,UNKNOWN,eduspot,00:F6:63:B1:CD:91,-80,11
166797,UNKNOWN,CONGRES,00:F6:63:E6:3A:A1,-81,6
166797,UNKNOWN,eduroam,00:F6:63:E6:3A:A2,-81,6
166797,UNKNOWN,eduroam,00:F6:63:C7:2A:F4,-81,1
166797,UNKNOWN,eduroam,00:F6:63:B1:CD:94,-81,11
166797,UNKNOWN,EDUAUTH,00:F6:63:E6:3A:A3,-82,6
166797,UNKNOWN,Freebox-6B47F8,DC:00:B0:F7:5F:80,-82,6
166797,UNKNOWN,eduspot,00:F6:63:E6:3A:A0,-82,6
166797,UNKNOWN,SFR_89B0,CC:2D:1B:6A:89:B6,-83,6
166797,UNKNOWN,CONGRES,00:F6:63:DD:3D:C2,-83,1
166797,UNKNOWN,CONGRES,00:F2:8B:03:73:52,-83,1
166797,UNKNOWN,Rigatoni,68:A3:78:76:B1:EE,-83,2
166797,UNKNOWN,CASADIPANINI,D0:6E:DE:67:17:F0,-83,11
166797,UNKNOWN,?,04:17:B6:4D:C3:C7,-83,6
166797,UNKNOWN,CONGRES,00:F6:63:DD:4B:62,-84,6
166797,UNKNOWN,eduspot,00:F6:63:E6:2F:C1,-85,6
166797,UNKNOWN,?,EA:38:83:73:1B:4E,-85,6
166797,UNKNOWN,eduroam,00:F6:63:DD:3D:C4,-85,1
166797,UNKNOWN,eduspot,00:F6:63:DD:4B:61,-85,6
166797,UNKNOWN,CONGRES,00:F6:63:E6:2F:C2,-85,6
166797,UNKNOWN,Bbox-BED88C1A,92:5A:00:C4:0D:65,-86,7
166797,UNKNOWN,Livebox-1840,04:E3:1A:9F:18:40,-86,6
166797,UNKNOWN,Freebox-1CD2CF,3A:07:16:F3:4B:34,-87,11
166797,UNKNOWN,eduspot,00:FE:C8:DD:17:41,-87,6
166797,UNKNOWN,Livebox-975C,04:70:56:BF:97:5C,-88,1
166797,UNKNOWN,Turtlebot_TP_2_4G,F0:A7:31:14:32:75,-88,4
166797,UNKNOWN,POCO C71,06:FB:74:39:A5:B1,-88,7
166797,UNKNOWN,CONGRES,00:FE:C8:DD:17:42,-88,6
166797,UNKNOWN,CONGRES,00:F6:63:E6:2E:D2,-88,6
166797,UNKNOWN,Livebox-56BF,18:82:8C:7D:56:BF,-89,1
166797,UNKNOWN,eduroam,00:FE:C8:DD:17:44,-89,6
166797,UNKNOWN,FBFB,70:FC:8F:4C:99:94,-89,11
166797,UNKNOWN,Livebox-D610,6C:FF:CE:D3:D6:10,-90,1
166797,UNKNOWN,Galaxy A34 5G 1D6A,A6:15:6B:72:D0:94,-90,1
166797,UNKNOWN,?,3A:07:16:6B:CF:12,-90,6
166797,UNKNOWN,Livebox-92EA,38:06:E6:48:50:58,-90,11
166797,UNKNOWN,CONGRES,00:F6:63:DD:3D:F2,-90,11
166797,UNKNOWN,eduspot,00:F6:63:B1:D0:31,-90,11
166797,UNKNOWN,SoloNet-F3:16,90:03:B7:39:F3:16,-91,10
166797,UNKNOWN,CY_Home,A0:04:60:B5:B2:B8,-91,13
